id;banka;sube;hesap_no;iban
1;Optimization Cambridgeshire;payment Soap;Web;TR8600669O364OY3Y910100603
2;quantifying Garden;directional Avon Solomon Islands Dollar;Personal Loan Account HTTP;PK878H178940358526720955
3;navigating encoding;Fantastic Small Frozen Salad bypassing;time-frame Quality;TR3256012367U70MBO4831D7QC
4;Practical Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;SM45G95370754291404011Q7593
5;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;LV81YZXB595664Q590HY8
6;Court Money Market Account;Mouse;Junctions one-to-one;LU60049965386198Y76K
7;Accountability;Aruba Chair portals;online Strategist Shirt;MK74339V84420889995
8;input Accounts;enhance Multi-channelled purple;Response;MT47FFWR603104483V90U5447689696
9;withdrawal Jamaica;International;Luxembourg Spurs;SE6226567094201632501141
10;Shirt Metal;Mouse Rupiah;Human Mission;MD15E10E210142J560760890
